Location\Items,Grappling Hook,Progressive Picto Box,Iron Boots,Empty Bottle,Bait Bag,Delivery Bag,Boomerang,Progressive Bow,Hookshot,Deku Leaf,Bombs,Skull Hammer,Command Melody,Triforce Shard 1,Triforce Shard 2,Triforce Shard 3,Triforce Shard 4,Triforce Shard 5,Triforce Shard 6,Triforce Shard 7,Triforce Shard 8,Dragon Tingle Statue,Forbidden Tingle Statue,Goddess Tingle Statue,Earth Tingle Statue,Wind Tingle Statue,Din's Pearl,Farore's Pearl,Nayru's Pearl,Progressive Sword,Progressive Shield,Power Bracelets,DRC Small Key,DRC Big Key,FW Small Key,FW Big Key,TotG Small Key,TotG Big Key,ET Small Key,ET Big Key,WT Small Key,WT Big Key,Maggie's Letter,Moblin's Letter,Note to Mom,Cabana Deed,Ghost Ship Chart,Progressive Wallet,Progressive Magic Meter,Spoils Bag,Progressive Quiver,Treasure Chart 1,Treasure Chart 2,Treasure Chart 3,Treasure Chart 4,Treasure Chart 5,Treasure Chart 6,Treasure Chart 7,Treasure Chart 8,Treasure Chart 9,Treasure Chart 10,Treasure Chart 11,Treasure Chart 12,Treasure Chart 13,Treasure Chart 14,Treasure Chart 15,Treasure Chart 16,Treasure Chart 17,Treasure Chart 18,Treasure Chart 19,Treasure Chart 20,Treasure Chart 21,Treasure Chart 22,Treasure Chart 23,Treasure Chart 24,Treasure Chart 25,Treasure Chart 26,Treasure Chart 27,Treasure Chart 28,Treasure Chart 29,Treasure Chart 30,Treasure Chart 31,Treasure Chart 32,Treasure Chart 33,Treasure Chart 34,Treasure Chart 35,Treasure Chart 36,Treasure Chart 37,Treasure Chart 38,Treasure Chart 39,Treasure Chart 40,Treasure Chart 41,Triforce Chart 1,Triforce Chart 2,Triforce Chart 3,Triforce Chart 4,Triforce Chart 5,Triforce Chart 6,Triforce Chart 7,Triforce Chart 8,Tingle Tuner,Magic Armor,Piece of Heart,Heart Container,Hero's Charm,Progressive Bomb Bag,Red Chu Jelly,Green Chu Jelly,Joy Pendant,Golden Feather,Boko Baba Seed,Skull Necklace,Knight's Crest,All-Purpose Bait,Hyoi Pear,Fill-Up Coupon,Beedle's Chart,Great Fairy Chart,Light Ring Chart,Octo Chart,Platform Chart,Secret Cave Chart,Submarine Chart,Tingle's Chart,Green Rupee,Blue Rupee,Yellow Rupee,Red Rupee,Purple Rupee,Orange Rupee,Silver Rupee,Rainbow Rupee,Hurricane Spin
Windfall Island - Kane - Place Postman Statue on Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,125,953,1013,120,986,342,118,458,0,0,0,0,0,0,0,0,0,109,240,335,580,1133,1671,1611,103,0
Windfall Island - Kane - Place Six Flags on Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,120,975,959,110,1019,322,107,473,0,0,0,0,0,0,0,0,0,113,213,330,549,1102,1731,1665,108,0
Windfall Island - Kane - Place Six Idols on Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,98,1023,956,115,1006,370,98,426,0,0,0,0,0,0,0,0,0,108,245,340,558,1110,1674,1640,114,0
Windfall Island - Mila - Follow the Thief,146,168,111,204,135,160,129,206,150,133,140,147,118,52,45,66,39,50,45,51,44,239,210,243,266,235,251,237,247,188,162,123,0,0,0,0,0,0,0,0,0,0,129,128,114,118,145,146,159,18,35,19,16,18,21,15,19,26,17,14,19,14,19,14,24,12,19,13,21,18,16,16,23,16,19,15,18,15,21,19,16,16,19,13,17,17,18,18,17,20,18,23,22,18,25,18,14,18,25,14,26,10,892,135,19,38,31,18,200,223,21,186,69,25,93,16,20,13,26,23,16,23,21,17,30,41,59,104,250,333,365,23,20
Windfall Island - Battlesquid - First Prize,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,42,78,33,42,43,51,45,34,62,37,37,38,39,39,48,52,47,49,56,33,33,42,41,41,32,36,43,41,47,46,46,38,45,48,53,43,47,39,56,44,39,34,37,49,53,48,49,37,59,48,38,52,39,1952,293,59,96,65,57,477,391,45,440,169,66,207,60,41,44,54,54,37,48,33,42,57,110,139,262,513,775,788,48,46
Windfall Island - Battlesquid - Second Prize,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,49,83,56,41,58,38,48,49,39,42,44,40,40,44,68,43,44,45,43,40,54,48,48,40,44,45,52,40,48,47,48,44,58,44,39,50,43,49,41,59,42,49,35,63,50,45,34,37,43,41,46,41,43,1882,262,43,97,45,55,443,438,61,439,133,53,196,52,54,45,40,55,38,52,41,51,49,106,170,256,514,792,822,45,39
Windfall Island - Battlesquid - Under 20 Shots Prize,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,41,97,47,40,49,48,42,49,45,44,54,41,54,51,46,44,41,44,48,37,39,42,44,51,37,49,38,43,37,42,34,33,46,45,47,44,47,40,55,41,40,53,54,41,42,54,39,43,38,39,32,43,31,1910,260,36,93,64,48,433,475,50,488,148,74,210,49,49,42,61,35,38,45,44,55,46,108,174,220,522,797,791,43,42
Windfall Island - Pompie and Vera - Secret Meeting Photo,132,341,140,188,138,131,113,379,145,151,151,136,130,55,62,50,54,45,40,51,51,74,95,88,87,73,87,73,103,375,257,132,0,0,0,0,0,0,0,0,0,0,135,133,125,129,143,160,292,22,38,21,25,23,23,23,30,22,24,18,26,16,15,22,16,21,20,16,25,14,22,20,25,27,24,15,17,18,27,23,22,18,19,20,18,24,25,20,19,17,16,29,18,21,16,22,26,27,17,19,25,17,971,127,10,46,28,16,229,214,41,230,94,20,96,19,25,13,15,17,22,22,20,20,25,63,78,124,259,369,367,17,26
Windfall Island - Kamo - Full Moon Photo,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,46,83,38,41,46,36,55,41,41,53,36,44,52,44,42,51,43,56,38,38,60,41,46,42,49,46,49,37,56,42,44,41,43,41,39,49,50,50,46,50,38,44,40,44,44,46,42,54,50,51,45,40,48,1932,252,64,86,55,51,434,467,52,415,147,46,196,45,53,44,46,48,52,42,42,42,64,115,164,287,521,777,794,42,35
Windfall Island - Minenco - Miss Windfall Photo,121,0,105,146,86,120,105,392,118,120,108,101,120,42,55,55,47,60,62,63,44,40,46,28,30,39,39,35,32,385,260,100,0,0,0,0,0,0,0,0,0,0,108,119,106,107,108,141,270,23,60,27,23,24,33,24,29,33,16,22,23,21,29,28,26,30,29,22,34,25,24,28,22,25,30,32,28,27,18,26,21,23,29,24,27,33,16,27,28,31,19,20,30,19,23,29,24,30,29,26,34,32,1144,155,23,49,31,28,312,293,30,279,114,22,119,25,28,30,29,31,28,16,25,16,32,69,95,157,345,473,468,30,26
Windfall Island - Linda and Anton,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,44,75,44,41,42,42,39,36,48,56,42,57,41,54,49,50,41,42,42,43,29,52,41,42,46,41,40,35,49,59,43,39,41,40,45,42,48,53,47,36,37,47,40,33,37,49,40,40,36,35,46,46,37,1964,243,33,98,50,47,507,460,52,490,135,46,197,58,52,36,41,47,50,53,41,44,59,94,167,264,506,785,781,47,48
Windfall Island - Sunken Treasure,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,44,25,30,33,23,22,22,30,18,34,24,27,29,28,20,30,22,23,0,30,32,26,27,23,26,27,35,29,31,23,21,32,24,30,20,26,40,28,27,23,31,38,29,18,27,24,31,35,22,23,26,22,1076,161,36,47,0,0,570,0,0,0,0,0,0,37,28,27,30,33,35,29,26,20,0,0,523,1279,1784,2734,0,0,20
Dragon Roost Island - Wind Shrine,135,198,138,170,114,145,127,206,129,109,153,142,107,48,50,53,67,47,54,60,55,222,251,249,241,249,268,238,271,177,163,143,0,0,0,0,0,0,0,0,0,0,138,119,140,120,117,145,151,17,34,18,19,28,24,20,21,14,13,11,14,18,14,11,21,13,18,29,19,18,16,26,12,16,20,20,27,18,15,21,21,20,20,17,19,23,22,23,17,13,18,14,23,18,18,24,18,21,16,20,26,17,895,121,19,41,22,17,199,236,12,195,75,17,82,28,16,23,17,20,16,27,18,12,17,50,64,94,241,331,331,18,24
Dragon Roost Island - Rito Aerie - Give Hoskit 20 Golden Feathers,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,48,23,27,36,20,36,30,22,31,34,18,32,26,28,28,24,17,29,26,26,23,15,32,25,27,23,36,28,33,41,28,29,27,26,31,26,30,20,30,25,20,30,29,30,30,22,28,33,32,28,34,24,1075,171,32,56,74,81,722,630,84,690,254,78,290,26,26,24,24,33,19,18,23,22,83,160,255,423,741,1104,1099,78,31
Dragon Roost Island - Chest on Top of Boulder,176,218,130,225,155,142,138,260,178,189,179,146,150,43,58,53,45,49,47,45,43,172,170,165,166,188,171,165,154,250,249,154,0,0,0,0,0,0,0,0,0,0,143,141,156,133,161,197,235,14,50,17,24,13,15,21,21,18,13,15,16,28,24,13,23,16,21,16,18,22,22,17,24,17,17,24,22,18,25,27,19,19,11,22,19,11,19,21,19,18,25,23,29,25,19,17,16,12,18,25,22,12,777,116,21,41,18,19,201,199,28,182,60,18,70,19,23,20,16,13,24,15,10,19,28,50,68,100,216,343,353,28,14
Dragon Roost Island - Fly Across Platforms Around Island,90,201,88,182,95,95,92,302,75,0,109,92,72,72,77,80,74,79,77,79,66,53,49,47,57,54,57,59,72,299,209,72,0,0,0,0,0,0,0,0,0,0,74,90,81,94,85,119,231,27,69,23,22,29,31,27,29,21,37,28,21,35,24,19,25,22,28,23,25,33,30,23,31,24,19,21,32,26,25,32,27,29,27,20,27,21,29,35,23,23,26,22,28,20,24,20,28,29,33,26,19,28,1214,182,44,46,28,35,317,277,34,291,94,31,127,18,30,17,30,28,21,25,30,35,33,59,92,154,345,485,498,35,21
Dragon Roost Island - Rito Aerie - Mail Sorting,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,32,99,36,46,50,38,52,40,48,59,35,45,62,42,36,35,49,42,45,59,42,55,41,52,47,41,36,37,37,50,38,48,39,49,41,40,44,40,40,37,35,38,44,41,34,53,47,40,41,46,44,28,44,1947,269,34,73,57,50,469,454,42,467,147,59,219,38,52,41,42,48,47,53,35,42,51,107,158,247,527,829,789,49,48
Dragon Roost Island - Secret Cave,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,53,81,39,38,39,37,65,32,37,46,44,44,42,53,40,51,35,41,43,55,45,42,44,44,44,41,38,38,49,44,45,42,53,49,45,40,39,41,36,46,48,43,45,37,36,40,41,40,45,42,46,44,58,1897,272,44,93,51,62,500,518,50,450,156,54,207,52,38,36,64,33,40,38,42,45,48,103,157,293,504,791,739,60,42
Dragon Roost Island - Sunken Treasure,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,23,37,33,17,25,31,26,26,20,33,27,33,21,33,31,26,28,23,29,23,24,26,28,30,29,19,23,27,27,23,25,27,21,24,27,21,30,23,28,31,0,27,24,20,28,18,33,17,21,23,33,28,31,1125,151,28,45,0,0,528,0,0,0,0,0,0,23,30,30,27,29,22,24,21,29,0,0,506,1261,1840,2774,0,0,23
Dragon Roost Cavern - First Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Roost Cavern - Alcove With Water Jugs,17,18,13,41,20,15,17,29,21,20,18,14,16,3,7,6,8,5,10,6,4,31,25,30,30,30,32,30,27,20,21,12,7130,301,0,0,0,0,0,0,0,0,19,16,19,12,13,21,23,3,18,10,5,15,10,9,7,12,12,6,8,8,12,7,10,10,8,10,8,8,4,10,10,4,4,9,10,13,6,9,11,8,8,9,11,8,8,8,6,10,11,15,9,8,8,2,8,3,14,8,6,7,347,49,9,19,11,9,84,104,12,91,31,9,38,11,8,6,7,6,4,8,4,7,9,18,35,49,91,159,136,9,9
Dragon Roost Cavern - Water Jug on Upper Shelf,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,54,76,38,34,59,40,37,34,40,49,42,32,54,40,53,51,50,42,39,47,42,52,42,36,54,53,48,38,46,47,49,34,43,45,51,42,41,38,33,51,31,37,44,41,36,39,46,34,45,40,46,40,41,1897,262,50,97,36,51,465,455,53,500,188,49,209,51,36,49,35,47,45,45,47,46,50,108,157,252,572,773,805,48,35
Dragon Roost Cavern - Boarded Up Chest,18,14,22,43,16,14,11,24,16,15,14,24,16,7,8,4,8,5,6,5,8,34,35,28,34,30,33,30,30,17,14,15,7182,260,0,0,0,0,0,0,0,0,14,16,22,14,13,20,21,6,12,9,7,12,5,14,6,6,2,3,8,13,9,10,3,9,5,6,8,14,11,6,9,8,9,9,8,9,6,8,8,11,5,9,4,6,5,10,7,10,10,10,8,6,8,6,12,8,8,4,8,9,369,37,4,13,11,11,90,87,7,107,31,12,45,12,6,9,9,2,5,4,7,8,7,17,22,50,98,168,153,12,5
Dragon Roost Cavern - Chest Across Lava Pit,24,54,34,91,33,26,29,79,32,37,40,32,37,17,13,21,16,6,16,15,14,24,24,29,22,14,24,28,20,76,66,37,4446,521,0,0,0,0,0,0,0,0,42,36,28,38,31,58,70,12,39,17,17,20,24,23,16,21,16,18,25,16,14,15,24,18,15,21,14,16,16,19,17,10,13,17,15,15,9,16,20,15,12,19,16,19,20,17,14,11,16,26,16,14,14,16,15,11,13,27,21,23,698,106,17,40,14,15,187,162,21,172,65,12,84,21,13,28,21,13,17,16,17,11,28,36,69,102,186,281,281,28,16
Dragon Roost Cavern - Rat Room,34,43,26,81,23,33,45,45,28,43,26,33,30,11,13,14,15,14,14,13,9,59,63,51,47,55,55,56,55,53,34,30,4419,561,0,0,0,0,0,0,0,0,29,26,40,38,31,55,37,10,44,12,16,12,13,19,12,21,22,20,14,19,12,16,12,14,20,22,22,13,14,23,10,16,23,8,17,21,11,7,11,15,21,8,16,15,13,21,23,10,13,19,13,15,18,11,13,26,13,14,19,16,694,94,14,30,18,21,178,179,22,152,52,20,91,23,15,15,18,16,18,9,22,25,28,39,51,106,173,281,310,25,16
Dragon Roost Cavern - Rat Room Boarded Up Chest,35,43,25,74,42,29,40,43,29,36,39,40,28,12,23,18,13,18,17,12,11,62,65,63,65,49,57,46,60,50,43,26,4359,582,0,0,0,0,0,0,0,0,29,28,26,20,29,40,40,15,34,18,19,12,12,13,13,12,14,12,22,17,17,17,13,15,19,16,16,16,17,13,21,13,12,20,14,15,13,16,14,17,21,22,10,22,30,17,14,19,9,20,28,17,18,22,12,27,12,19,12,16,722,101,13,39,25,21,163,175,21,184,54,21,78,19,20,14,16,30,13,19,11,15,21,35,57,97,162,292,269,20,13
Dragon Roost Cavern - Bird's Nest,52,60,34,119,47,52,43,49,42,40,45,45,41,12,21,25,14,16,14,19,13,63,70,78,88,80,69,86,69,60,44,46,2464,752,0,0,0,0,0,0,0,0,49,42,47,40,43,56,59,16,60,29,21,26,30,26,23,23,29,21,20,28,17,28,22,26,20,30,29,14,25,16,16,23,22,18,30,19,8,21,24,18,16,28,29,31,23,25,18,21,18,19,24,15,12,32,19,25,20,13,19,18,925,132,20,42,22,21,227,228,24,241,75,31,97,22,27,23,23,20,23,26,24,18,31,63,76,135,253,411,386,24,19
Dragon Roost Cavern - Dark Room,48,82,46,150,64,56,54,111,53,69,57,57,64,25,22,19,30,22,24,29,24,62,77,79,65,73,83,84,74,103,92,51,0,1003,0,0,0,0,0,0,0,0,65,64,54,55,44,86,105,35,62,42,29,21,26,34,19,36,44,38,33,26,31,34,27,35,28,26,21,36,30,28,29,21,14,34,21,38,30,30,33,28,34,37,36,27,22,26,19,39,34,36,41,42,37,30,29,23,25,23,26,24,1307,164,40,50,27,37,315,309,32,310,118,33,126,27,28,31,29,27,27,23,24,24,30,79,97,178,344,530,501,36,43
Dragon Roost Cavern - Tingle Chest in Hub Room,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,45,88,41,46,49,45,35,34,41,35,49,56,47,37,31,51,53,43,51,42,42,50,51,50,36,41,44,65,52,39,46,47,50,46,48,49,44,38,48,45,39,49,39,43,35,47,37,50,37,45,43,43,53,1965,257,34,75,61,46,425,484,56,439,160,38,204,41,43,48,47,51,45,49,43,51,58,119,151,263,504,801,762,51,45
Dragon Roost Cavern - Pot on Upper Shelf in Pot Room,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,38,88,45,38,47,36,39,46,45,50,49,49,57,44,41,49,46,44,44,40,52,42,32,36,47,53,53,45,38,42,46,33,31,45,51,41,43,43,45,48,43,45,38,39,50,45,58,46,43,45,47,48,48,1877,257,57,87,51,51,465,484,49,441,139,44,223,42,33,36,49,43,38,54,45,55,60,103,157,256,569,738,816,57,50
Dragon Roost Cavern - Pot Room Chest,57,93,56,139,47,60,55,105,49,50,56,46,70,27,23,29,29,31,15,31,23,81,79,74,71,91,96,65,70,105,96,53,0,958,0,0,0,0,0,0,0,0,52,55,51,54,52,75,85,33,48,31,27,31,29,26,24,29,35,27,41,38,33,23,32,30,36,20,37,35,27,26,27,31,30,33,30,29,35,28,30,33,37,29,32,23,30,36,29,23,34,34,21,34,42,25,23,31,32,33,33,29,1295,151,36,83,45,42,316,334,42,298,107,39,147,28,22,30,35,25,39,20,28,24,34,65,114,176,336,515,516,36,34
Dragon Roost Cavern - Miniboss,43,72,56,128,49,73,62,103,43,51,66,68,58,24,34,23,28,23,19,22,26,82,61,97,72,76,66,80,87,120,118,50,0,1063,0,0,0,0,0,0,0,0,52,50,45,39,54,88,80,25,66,23,35,22,41,22,27,23,36,35,27,26,25,32,19,19,23,35,30,30,29,23,28,36,34,27,19,34,22,36,30,36,27,30,25,42,30,30,28,40,35,19,17,32,30,31,29,30,21,36,28,30,1315,175,26,61,37,30,286,339,35,336,95,28,123,34,30,25,28,29,31,31,29,21,37,71,129,187,335,513,503,42,23
Dragon Roost Cavern - Under Rope Bridge,41,115,59,166,57,68,54,129,48,53,68,62,60,24,29,24,33,28,31,21,30,49,51,47,43,42,46,40,53,131,104,58,0,1041,0,0,0,0,0,0,0,0,41,57,60,47,48,82,124,27,53,29,26,33,23,30,37,36,31,36,30,32,37,29,35,26,31,29,31,23,30,23,26,24,34,24,29,20,39,22,28,40,28,29,34,26,30,30,23,26,31,35,31,28,34,22,29,27,28,30,20,27,1311,191,36,67,24,41,341,347,30,333,104,31,135,29,26,32,26,34,37,23,22,25,27,80,107,187,341,513,504,25,36
Dragon Roost Cavern - Tingle Statue Chest,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,48,104,46,47,54,39,46,45,41,46,34,54,43,29,46,45,49,29,37,29,45,43,48,35,42,28,41,36,35,45,41,44,43,35,44,31,36,41,35,43,46,47,43,50,40,42,43,54,44,56,43,45,42,1858,266,53,93,56,55,482,503,51,488,178,64,226,59,46,37,40,37,45,52,46,38,49,101,147,270,515,765,805,49,41
Dragon Roost Cavern - Big Key Chest,0,100,58,145,44,58,45,138,62,57,53,71,51,41,28,27,23,29,40,40,36,39,40,39,39,22,31,36,52,160,106,49,0,982,0,0,0,0,0,0,0,0,48,39,37,56,51,80,102,34,52,29,36,33,31,38,28,27,35,23,36,19,32,29,29,21,29,35,25,33,34,37,27,36,26,38,26,35,28,35,28,30,36,28,35,26,27,38,22,30,29,22,32,30,36,25,30,26,29,32,30,36,1381,197,30,47,40,33,338,326,32,329,88,35,146,31,30,36,29,33,35,32,23,13,37,64,134,176,361,540,552,40,25
Dragon Roost Cavern - Boss Stairs Right Chest,41,98,59,141,55,74,67,141,48,64,57,69,63,31,36,22,25,24,29,23,26,52,52,60,45,49,42,53,63,115,105,58,0,1033,0,0,0,0,0,0,0,0,59,49,44,55,50,94,110,36,52,32,25,29,21,39,28,35,29,29,29,34,32,27,26,30,28,26,26,29,34,26,35,38,32,36,32,29,32,39,23,20,32,28,35,31,29,35,37,31,35,31,21,31,27,30,38,34,28,34,29,26,1287,168,40,65,32,27,301,307,27,290,114,31,147,35,24,18,39,25,32,27,31,24,33,80,104,184,335,539,555,30,28
Dragon Roost Cavern - Boss Stairs Left Chest,59,125,63,158,49,51,57,130,75,59,57,65,60,27,31,19,20,21,25,22,29,49,63,52,49,47,47,52,39,128,96,64,0,943,0,0,0,0,0,0,0,0,60,62,53,65,68,86,106,32,49,42,30,26,26,29,46,35,41,34,25,31,32,33,24,29,24,34,37,37,34,38,28,31,33,31,27,34,30,40,28,43,32,27,25,31,34,21,27,37,29,28,39,33,21,24,24,29,27,27,21,24,1289,171,28,66,35,36,309,304,31,303,106,27,157,36,32,28,33,31,33,28,32,24,32,58,96,179,348,528,557,38,41
Dragon Roost Cavern - Boss Stairs Right Pot,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,51,100,40,39,51,42,35,44,38,44,35,36,41,31,35,47,40,51,33,47,47,41,34,48,43,48,40,48,52,49,36,46,45,42,50,43,42,43,34,48,44,50,51,52,43,39,47,56,52,45,43,49,44,1910,235,52,99,50,54,463,469,52,500,155,59,207,42,43,41,40,43,60,38,42,40,48,105,145,293,557,763,771,37,44
Dragon Roost Cavern - Gohma Heart Container,0,0,0,68,0,0,0,0,0,0,0,0,0,627,610,616,646,593,639,660,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,52,20,18,17,20,22,22,22,18,21,20,24,27,29,21,20,28,22,19,21,21,14,23,23,22,21,25,20,25,13,28,18,30,20,18,23,19,25,16,27,29,16,20,30,18,21,27,25,24,29,20,21,931,145,18,49,28,27,253,213,39,249,84,17,84,23,28,17,21,30,21,25,16,18,28,54,83,133,257,376,385,20,26
Forest Haven - On Tree Branch,0,246,115,181,121,131,134,306,136,123,126,142,136,65,50,55,54,50,60,71,76,85,89,89,100,99,90,97,93,355,213,140,0,0,0,0,0,0,0,0,0,0,119,124,112,131,126,153,235,29,48,26,24,16,26,27,21,27,34,18,28,23,27,22,27,27,24,23,24,24,19,19,19,24,29,16,17,24,19,21,30,24,20,23,27,30,14,20,22,26,12,21,24,21,29,29,29,28,27,26,17,18,1049,146,25,44,23,21,255,247,24,237,81,17,100,27,23,22,27,25,18,27,27,30,19,42,77,164,279,380,393,35,19
Forest Haven - Small Island Chest,0,179,69,150,53,70,65,354,69,0,66,74,87,86,72,83,92,74,85,61,69,51,34,25,34,32,37,37,32,367,196,61,0,0,0,0,0,0,0,0,0,0,70,66,67,68,77,82,190,29,50,35,46,28,29,26,17,29,40,22,25,30,33,21,35,31,29,30,41,29,28,33,30,28,22,28,32,30,30,34,31,33,30,30,23,34,22,25,30,28,36,22,25,31,25,40,25,24,34,28,25,26,1310,189,27,62,31,41,320,301,43,297,106,48,158,24,32,24,22,30,30,29,25,27,34,59,111,170,340,538,562,26,23
Forest Haven - Sunken Treasure,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,23,59,27,23,26,31,30,25,23,29,19,24,27,31,31,21,31,34,22,29,34,21,20,28,22,26,31,28,19,31,20,23,0,24,21,31,15,24,20,18,19,27,26,27,34,23,27,21,25,22,25,26,39,1121,148,24,48,0,0,513,0,0,0,0,0,0,25,27,30,33,34,33,19,24,22,0,0,535,1309,1836,2756,0,0,22
Forbidden Woods - First Room,0,59,24,102,20,17,33,120,30,0,33,24,34,30,23,29,30,33,42,25,37,11,17,14,12,17,14,17,13,125,71,27,0,0,873,720,0,0,0,0,0,0,23,23,17,16,27,60,70,37,64,37,27,24,31,36,37,39,36,29,23,33,32,26,39,24,33,34,26,30,28,31,37,42,31,19,31,40,34,22,30,35,30,30,34,32,21,30,34,37,27,37,33,24,33,29,29,35,33,35,38,35,1408,185,28,58,32,34,334,338,35,355,115,46,144,31,32,36,32,29,24,29,22,22,36,84,116,196,401,563,547,28,35
Forbidden Woods - Inside Hollow Tree's Mouth,0,69,25,100,22,24,22,115,20,0,22,20,27,39,33,40,31,31,41,36,44,15,10,12,18,24,10,16,18,111,79,20,0,0,995,663,0,0,0,0,0,0,13,16,26,29,29,54,43,34,68,30,27,36,25,32,32,37,25,36,32,44,25,32,28,28,29,30,30,30,31,28,29,32,33,28,25,33,35,29,29,34,41,48,26,27,41,22,30,30,33,28,31,35,27,33,36,32,36,34,30,29,1393,173,34,73,29,46,323,334,35,327,134,37,158,32,31,27,35,36,25,25,30,24,39,92,124,186,363,557,546,39,26
